"","Sample","Seq","PutGeno","GenoRep","Reps","MLG_wgs$contracted"
"145","s145","wgs","OF693","OF693","no",145
"146","s146","wgs","OF423","OF423","no",146
"147","s147","wgs","OF559","OF656","no",147
"148","s148","wgs","15-10","15-10","no",148
"149","s149","wgs","OF202","OF202","no",149
"150","s150","wgs","OF211","OF211","no",150
"151","s151","wgs","OF58","OF682","no",151
"152","s152","wgs","OF61","OF700","no",155
"153","s153","wgs","OF654","OF654","no",153
"154","s154","wgs","OF657","OF657","no",114
"155","s155","wgs","OF8","OF8","no",155
"156","s156","wgs","OF733","OF733","no",156
"157","s157","wgs","GB18","GB18","no",39
"158","s158","wgs","S59","S59","no",158
"159","s159","wgs","S630","S630","no",159
"160","s160","wgs","OF76","OF76_wgs_2","yes",153
"161","s161","wgs","M11","M11","no",114
"162","s162","wgs","M7","M7","no",114
"163","s163","wgs","M23","M23","no",11
"164","s164","wgs","M24","M24","no",164
"165","s165","wgs","M5","M5","no",155
"166","s166","wgs","M12","M12_wgs_1","yes",114
"167","s167","wgs","GB22","GB22","no",39
"168","s168","wgs","M34","M34","no",114
"169","s169","wgs","S227","S227","no",114
"170","s170","wgs","S483","S483","no",170
"171","s171","wgs","OF755","OF755","no",114
"172","s172","wgs","M33","M33_wgs_1","yes",114
"173","s173","wgs","M10","M10","no",173
"174","s174","wgs","M19","M19","no",155
"175","s175","wgs","M30","M30","no",175
"176","s176","wgs","GB14","GB14_wgs_2","yes",176
"177","s177","wgs","GB1","GB1_wgs_2","yes",114
"178","s178","wgs","M12","M12_wgs_2","yes",114
"179","s179","wgs","OF393","OF393_wgs_2","yes",142
"180","s180","wgs","M33","M33_wgs_2","yes",114
