"","PutGeno","variable","Mean"
"123","OF76","Cladocopium",0.0704954803672443
"124","OF76","Durusdinium",0.859938376895303
"125","sperm","Symbiodinium",0.00234294371878554
"126","sperm","Breviolum",0.000350697616641766
"127","sperm","Cladocopium",0.00474615632121039
"128","sperm","Durusdinium",0.992560202343362
"129","unk10","Symbiodinium",0.00352789683796306
"130","unk10","Breviolum",0.000517651710456591
"131","unk10","Cladocopium",0.00990776482556007
"132","unk10","Durusdinium",0.98604668662602
"133","unk26","Symbiodinium",0.00265866325086123
"134","unk26","Breviolum",0.000308728813033407
"135","unk26","Cladocopium",0.0078521695566876
"136","unk26","Durusdinium",0.989180438379418
