"","Sample","Symbiodinium","Breviolum","Cladocopium","Durusdinium"
"151","s151",0.0538497798442304,0.0172528049390803,0.0647504365619275,0.864146978654762
"152","s152",0.00352012095179616,0.000800492467316677,0.00231990020130145,0.993359486379586
"153","s153",0.111960350276351,0.0202007545698812,0.143632794553732,0.724206100600036
"154","s154",0.00660945133857766,0.00129763128740964,0.00525453498473727,0.986838382389275
"155","s155",0.00370725641833503,0.000902114031536099,0.00298099006593937,0.992409639484189
"156","s156",0.00670659099571239,0.0016656165058163,0.00585769129643015,0.985770101202041
"157","s157",0.00461684118108785,0.00110170297917889,0.00377690099034767,0.990504554849386
"158","s158",0.00645380488250637,0.00166373953338245,0.00783627782312747,0.984046177760984
"159","s159",0.00489677447385792,0.00117247089721502,0.00608753456099298,0.987843220067934
"160","s160",0.00436357121319057,0.00108166877154506,0.00557018734934921,0.988984572665915
"161","s161",0.00680054976982669,0.00156992620583058,0.0119568901023322,0.979672633922011
"162","s162",0.00659753779085068,0.00156155137346456,0.0243565808260399,0.967484330009645
"163","s163",0.00478937121230784,0.00126987768525818,0.00980094214993102,0.984139808952503
"164","s164",0.108027404400429,0.015089205652268,0.141863269534028,0.735020120413275
"165","s165",0.00544799016227671,0.001247525815783,0.0149025239204369,0.978401960101503
"166","s166",0.0107479792342304,0.0022300198055379,0.0133458248432947,0.973676176116937
"167","s167",0.00507844064438643,0.00103258340299376,0.0040959991514969,0.989792976801123
"168","s168",0.00502809395499374,0.00106863591643363,0.00398406303978328,0.989919207088789
"169","s169",0.0673527073580072,0.0144267290875364,0.0778597297058564,0.8403608338486
"170","s170",0.00458453411128472,0.00111389625485814,0.00342233377539514,0.990879235858462
"171","s171",0.134391120586676,0.023580584854215,0.157312820402938,0.684715474156172
"172","s172",0.00735900986611506,0.00165866936945959,0.00877681065830505,0.98220551010612
"173","s173",0.0889246092484387,0.0224507580412705,0.0664570927413498,0.822167539968941
"174","s174",0.00443506390609319,0.000928422737756806,0.00282251347262609,0.991813999883524
"175","s175",0.00701855998579191,0.00137088670480674,0.00707731858448327,0.984533234724918
"176","s176",0.102412533640907,0.0159974529027297,0.071306708958093,0.81028330449827
"177","s177",0.0892679540493816,0.0132064640585263,0.0964068538778344,0.801118728014258
"178","s178",0.00738952302903991,0.00150991386668067,0.0105775135196009,0.980523049584679
"179","s179",0.0199305140599898,0.00424143322801908,0.0276612721437235,0.948166780568268
"180","s180",0.00694702758290041,0.00155737192329874,0.00858940181075754,0.982906198683043
