Sample,Seq,PutGeno,GenoRep,Reps
s180,wgs,M33,M33_wgs_2,yes
201,2brad,unk1,unk1,no
202,2brad,unk2,unk2,no
203,2brad,unk3,unk3,no
204,2brad,unk4,unk4,no
205,2brad,unk5,unk5,no
206,2brad,unk6,unk6,no
207,2brad,unk7,unk7,no
208,2brad,unk8,unk8,no
209,2brad,unk9,unk9,no
210_2,2brad,unk10,unk10_rad_2,yes
210_3,2brad,unk10,unk10_rad_3,yes
210,2brad,unk10,unk10_rad_1,yes
211,2brad,unk11,unk11,no
212,2brad,unk12,unk12,no
213,2brad,unk13,unk13,no
214,2brad,unk14,unk14,no
215,2brad,unk15,unk15,no
216,2brad,unk16,unk16,no
217,2brad,unk17,unk17,no
218,2brad,unk18,unk18,no
219,2brad,unk19,unk19,no
220,2brad,unk20,unk20,no
221,2brad,unk21,unk21,no
222,2brad,unk22,unk22,no
223,2brad,unk23,unk23,no
224,2brad,unk24,unk24,no
225,2brad,unk25,unk25,no
226_2,2brad,unk26,unk26_rad_2,yes
226_3,2brad,unk26,unk26_rad_3,yes
226,2brad,unk26,unk26_rad_1,yes
227,2brad,unk27,unk27,no
228,2brad,unk28,unk28,no
229,2brad,unk29,unk29,no
230,2brad,unk30,unk30,no
231,2brad,unk31,unk31,no
232,2brad,unk32,unk32,no
234,2brad,unk34,unk34,no
235,2brad,unk35,unk35,no
236,2brad,unk36,unk36,no
237,2brad,unk37,unk37,no
238,2brad,unk38,unk38,no
239,2brad,unk39,unk39,no
240,2brad,unk40,unk40,no
241,2brad,unk41,unk41,no
243,2brad,unk43,unk43,no
244,2brad,unk44,unk44,no
245,2brad,unk45,unk45,no
246,2brad,unk46,unk46,no
247,2brad,unk47,unk47,no
248,2brad,unk48,unk48,no
249,2brad,unk49,unk49,no
250,2brad,unk50,unk50,no
251,2brad,unk51,unk51,no
252,2brad,unk52,unk52,no
253,2brad,unk53,unk53,no
254,2brad,unk54,unk54,no
255,2brad,unk55,unk55,no
256,2brad,unk56,unk56,no
257,2brad,unk57,unk57,no
258,2brad,unk58,unk58,no
259,2brad,unk59,unk59,no
260,2brad,unk60,unk60,no
261,2brad,unk61,unk61,no
262,2brad,unk62,unk62,no
263,2brad,unk63,unk63,no
264,2brad,unk64,unk64,no
265,2brad,unk65,unk65,no
266,2brad,unk66,unk66,no
267,2brad,unk67,unk67,no
268,2brad,unk68,unk68,no
